Epoca 713 | RMS 0.87296
Epoca 714 | RMS 0.87266
Epoca 715 | RMS 0.87237
Epoca 716 | RMS 0.87208
Epoca 717 | RMS 0.87179
Epoca 718 | RMS 0.87150
Epoca 719 | RMS 0.87121
Epoca 720 | RMS 0.87091
Epoca 721 | RMS 0.87062
Epoca 722 | RMS 0.87033
Epoca 723 | RMS 0.87004
Epoca 724 | RMS 0.86975
Epoca 725 | RMS 0.86945
Epoca 726 | RMS 0.86916
Epoca 727 | RMS 0.86887
Epoca 728 | RMS 0.86857
Epoca 729 | RMS 0.86828
Epoca 730 | RMS 0.86799
Epoca 731 | RMS 0.86769
Epoca 732 | RMS 0.86740
Epoca 733 | RMS 0.86711
Epoca 734 | RMS 0.86681
Epoca 735 | RMS 0.86652
Epoca 736 | RMS 0.86622
Epoca 737 | RMS 0.86593
Epoca 738 | RMS 0.86563
Epoca 739 | RMS 0.86534
Epoca 740 | RMS 0.86504
Epoca 741 | RMS 0.86475
Epoca 742 | RMS 0.86445
Epoca 743 | RMS 0.86416
Epoca 744 | RMS 0.86386
Epoca 745 | RMS 0.86357
Epoca 746 | RMS 0.86327
Epoca 747 | RMS 0.86297
Epoca 748 | RMS 0.86268
Epoca 749 | RMS 0.86238
Epoca 750 | RMS 0.86209
Epoca 751 | RMS 0.86179
Epoca 752 | RMS 0.86149
Epoca 753 | RMS 0.86119
Epoca 754 | RMS 0.86090
Epoca 755 | RMS 0.86060
Epoca 756 | RMS 0.86030
Epoca 757 | RMS 0.86001
Epoca 758 | RMS 0.85971
Epoca 759 | RMS 0.85941
Epoca 760 | RMS 0.85911
Epoca 761 | RMS 0.85882
Epoca 762 | RMS 0.85852
Epoca 763 | RMS 0.85822
Epoca 764 | RMS 0.85792
Epoca 765 | RMS 0.85762
Epoca 766 | RMS 0.85733
Epoca 767 | RMS 0.85703
Epoca 768 | RMS 0.85673
Epoca 769 | RMS 0.85643
Epoca 770 | RMS 0.85613
Epoca 771 | RMS 0.85583
Epoca 772 | RMS 0.85554
Epoca 773 | RMS 0.85524
Epoca 774 | RMS 0.85494
Epoca 775 | RMS 0.85464
Epoca 776 | RMS 0.85434
Epoca 777 | RMS 0.85404
Epoca 778 | RMS 0.85375
Epoca 779 | RMS 0.85345
Epoca 780 | RMS 0.85315
Epoca 781 | RMS 0.85285
Epoca 782 | RMS 0.85255
Epoca 783 | RMS 0.85226
Epoca 784 | RMS 0.85196
Epoca 785 | RMS 0.85166
Epoca 786 | RMS 0.85136
Epoca 787 | RMS 0.85106
Epoca 788 | RMS 0.85077
Epoca 789 | RMS 0.85047
Epoca 790 | RMS 0.85017
Epoca 791 | RMS 0.84988
Epoca 792 | RMS 0.84958
Epoca 793 | RMS 0.84928
Epoca 794 | RMS 0.84899
Epoca 795 | RMS 0.84869
Epoca 796 | RMS 0.84839
Epoca 797 | RMS 0.84810
Epoca 798 | RMS 0.84780
Epoca 799 | RMS 0.84751
Epoca 800 | RMS 0.84721
Epoca 801 | RMS 0.84692
Epoca 802 | RMS 0.84663
Epoca 803 | RMS 0.84633
